1465,偉全,紡織纖維,傳產–紡織纖維,863,0,0,0
1466,聚隆,紡織纖維,傳產–紡織纖維,953,0,0,0
1467,南緯,紡織纖維,傳產–紡織纖維,1682,0,0,0
1468,昶和,紡織纖維,傳產–紡織纖維,1604,0,0,0
1469,理隆,紡織纖維,傳產–紡織纖維,1246,0,0,0
1470,大統染,紡織纖維,傳產–紡織纖維,858,0,0,0
1471,首利,電子–電子零組件,電子中游–電源供應器,2015,0,0,0
1472,三洋紡,紡織纖維,傳產–紡織纖維,667,0,0,0
1473,台南,紡織纖維,傳產–紡織纖維,1468,0,0,0
1474,弘裕,紡織纖維,傳產–紡織纖維,1379,0,0,0
1475,本盟,紡織纖維,傳產–紡織纖維,525,0,0,0
1476,儒鴻,紡織纖維,傳產–紡織纖維,2460,0,1,0
1477,聚陽,紡織纖維,傳產–紡織纖維,1654,0,0,0
1503,士電,電機機械,傳產–電機,5210,0,0,0
1504,東元,電機機械,傳產–電機,18487,0,1,0
1506,正道,電機機械,傳產–汽車零組件,1223,0,0,0
1507,永大,電機機械,傳產–電機,4108,0,1,1
1512,瑞利,電機機械,傳產–汽車零組件,1818,0,0,0
1513,中興電,電機機械,傳產–電機,4800,0,0,0
1514,亞力,電機機械,傳產–電機,2011,0,0,0
1515,力山,電機機械,傳產–電機,1815,0,0,0
1516,川飛,電機機械,傳產–電機,183,0,0,0
1517,利奇,電機機械,傳產–電機,2278,0,0,0
1519,華城,電機機械,傳產–電機,2611,0,0,0
1521,大億,電機機械,傳產–汽車零組件,762,0,0,0
1522,堤維西,電機機械,傳產–汽車零組件,3143,0,0,0
1524,耿鼎,電機機械,傳產–汽車零組件,1624,0,0,0
1525,江申,電機機械,傳產–汽車零組件,692,0,0,0
1526,日馳,電機機械,傳產–電機,500,0,0,0
1527,鑽全,電機機械,傳產–電機,1533,0,0,0
1528,恩德,電機機械,傳產–電機,1470,0,0,0
1529,樂士,電機機械,傳產–電機,2497,0,0,0
1530,亞崴,電機機械,傳產–電機,950,0,0,0
1531,高林股,電機機械,傳產–電機,1932,0,0,0
1532,勤美,鋼鐵工業,傳產–鋼鐵,3784,0,0,0
1533,車王電,電機機械,傳產–電機,964,0,0,0
1535,中宇,電機機械,傳產–電機,1161,0,0,0
1536,和大,電機機械,傳產–汽車零組件,2003,0,0,0
1537,廣隆,電機機械,傳產–汽車零組件,816,0,0,0
1538,正峰新,電機機械,傳產–電機,1639,0,0,0
1539,巨庭,電機機械,傳產–電機,654,0,0,0
1540,喬福,電機機械,傳產–電機,855,0,0,0
1541,錩泰,電機機械,傳產–電機,788,0,0,0
1558,伸興,電機機械,傳產–電機,517,0,0,0
1560,中砂,電機機械,傳產–電機,1410,0,0,0
1565,精華,生技醫療,傳產–生技,504,0,0,0
1566,捷邦,電機機械,傳產–電機,420,0,0,0
1569,濱川,電子–電腦及週邊設備,電子上游–IC通路,790,0,0,0
1570,力肯,電機機械,傳產–電機,515,0,0,0
1580,新麥,電機機械,傳產–其他,427,0,0,0
1582,信錦,電子–電子零組件,電子上游–連接元件,1421,0,0,0
1583,程泰,電機機械,傳產–電機,976,0,0,0
1584,精剛,其他,傳產–其他,835,0,0,0
1586,和勤,電機機械,電子中游–其他,466,0,0,0
1589,F-永冠,電機機械,傳產–電機,1009,0,0,0
1590,F-亞德,電機機械,傳產–電機,1500,0,1,0
1591,F-駿吉,電機機械,傳產–電機,204,0,0,0
1593,祺驊,生技醫療,傳產–生技,246,0,0,0
1595,川寶,電子–電子零組件,電子上游–PCB材料設備,387,0,0,0
1603,華電,電器電纜,傳產–電線電纜,3423,0,0,0
1604,聲寶,電器電纜,電子下游–消費電子,5841,0,0,0
1605,華新,電器電纜,傳產–電線電纜,36160,0,1,0
1608,華榮,電器電纜,傳產–電線電纜,6328,0,0,0
1609,大亞,電器電纜,傳產–電線電纜,5802,0,0,0
1611,中電,電器電纜,傳產–電機,3984,0,0,0
1612,宏泰,電器電纜,傳產–電線電纜,3242,0,0,0
1613,台一,電器電纜,傳產–電線電纜,2275,0,0,0
1614,三洋電,電器電纜,傳產–電機,3166,0,0,0
1615,大山,電器電纜,傳產–電線電纜,1119,0,0,0
1616,億泰,電器電纜,傳產–電線電纜,1941,0,0,0
1617,榮星,電器電纜,傳產–電線電纜,1442,0,0,0
1618,合機,電器電纜,傳產–電線電纜,2409,0,0,0
1701,中化,生技醫療,傳產–生技,2981,0,0,0
1702,南僑,食品工業,傳產–食品業,2941,0,0,0
1704,榮化,化學工業,傳產–化學工業,8532,0,1,0
1707,葡萄王,生技醫療,傳產–生技,1302,0,0,0
1708,東鹼,化學工業,傳產–化學工業,1578,0,0,0
1709,和益,化學工業,傳產–化學工業,4299,0,0,0
1710,東聯,化學工業,傳產–塑膠,8857,0,1,1
1711,永光,化學工業,傳產–化學工業,4506,0,0,0
1712,興農,化學工業,傳產–生技,3337,0,0,0
1713,國化,化學工業,傳產–化學工業,1510,0,0,0
1714,和桐,化學工業,傳產–化學工業,8695,0,0,0
1715,亞化,塑膠工業,傳產–化學工業,3234,0,0,0
1717,長興,化學工業,傳產–化學工業,9924,0,1,0
1718,中纖,化學工業,傳產–塑膠,14106,0,0,0
1720,生達,生技醫療,傳產–生技,1684,0,0,1
1721,三晃,化學工業,傳產–化學工業,837,0,0,0
1722,台肥,化學工業,傳產–化學工業,9800,1,0,0
1723,中碳,化學工業,傳產–化學工業,2369,0,1,1
1724,台硝,化學工業,傳產–化學工業,1278,0,0,0
1725,元禎,化學工業,傳產–化學工業,1825,0,0,0
1726,永記,化學工業,傳產–化學工業,1620,0,0,0
1727,中華化,化學工業,傳產–化學工業,935,0,0,0
1729,必翔,生技醫療,傳產–生技,1874,0,0,0
1730,花仙子,化學工業,傳產–化學工業,535,0,0,0
1731,美吾華,生技醫療,傳產–生技,1329,0,0,0
1732,毛寶,化學工業,傳產–化學工業,424,0,0,0
1733,五鼎,生技醫療,傳產–生技,985,0,0,0
1734,杏輝,生技醫療,傳產–生技,1493,0,0,0
1735,日勝化,化學工業,傳產–塑膠,1024,0,0,0
1736,喬山,生技醫療,傳產–生技,2004,0,0,0
1737,臺鹽,化學工業,傳產–生技,2781,0,0,0
1742,台蠟,化學工業,傳產–化學工業,647,0,0,0
1752,南光,生技醫療,傳產–生技,648,0,0,0
1762,中化生,生技醫療,傳產–生技,776,0,0,0
1773,勝一,化學工業,傳產–化學工業,1335,0,0,0
1777,生泰,生技醫療,傳產–生技,250,0,0,0
1781,合世,生技醫療,傳產–生技,445,0,0,0
1784,訊聯,生技醫療,傳產–生技,502,0,0,0
1785,光洋科,電子–其他電子,電子下游–光碟片,4086,0,0,0
1787,福盈科,化學工業,傳產–化學工業,698,0,0,0
1788,杏昌,生技醫療,傳產–生技,350,0,0,0
1789,神隆,生技醫療,傳產–生技,6499,0,1,0
1795,美時,生技醫療,傳產–生技,571,0,0,0
1799,紅電醫,生技醫療,傳產–生技,318,0,0,0
1802,台玻,玻璃陶瓷,傳產–玻璃陶瓷,23781,0,1,0
1805,寶徠,建材營建,傳產–營建,803,0,0,0
1806,冠軍,玻璃陶瓷,傳產–玻璃陶瓷,4373,0,0,1
1808,潤隆,建材營建,傳產–營建,1445,0,0,0
1809,中釉,玻璃陶瓷,傳產–玻璃陶瓷,1898,0,0,0
1810,和成,玻璃陶瓷,傳產–玻璃陶瓷,3699,0,0,0
1813,寶利徠,生技醫療,傳產–生技,411,0,0,0
1815,富喬,電子–電子零組件,電子上游–PCB材料設備,3273,0,0,0
1902,台紙,造紙工業,傳產–紙業,4020,0,0,0
1903,士紙,造紙工業,傳產–紙業,2600,0,0,0
1904,正隆,造紙工業,傳產–紙業,10734,0,0,0
1905,華紙,造紙工業,傳產–紙業,12578,0,0,0
1906,寶隆,造紙工業,傳產–紙業,1510,0,0,0
1907,永豐餘,造紙工業,傳產–紙業,16604,0,1,0
1909,榮成,造紙工業,傳產–紙業,6871,0,0,0
2002,中鋼,鋼鐵工業,傳產–鋼鐵,153107,1,0,1
2006,東鋼,鋼鐵工業,傳產–鋼鐵,9916,0,1,0
2007,燁興,鋼鐵工業,傳產–鋼鐵,6307,0,0,0
2008,高興昌,鋼鐵工業,傳產–鋼鐵,4238,0,0,0
2009,第一銅,鋼鐵工業,傳產–鋼鐵,3596,0,0,0
2010,春源,鋼鐵工業,傳產–鋼鐵,6477,0,0,0
2012,春雨,鋼鐵工業,傳產–鋼鐵,2878,0,0,0
2013,中鋼構,鋼鐵工業,傳產–鋼鐵,2000,0,0,0
2014,中鴻,鋼鐵工業,傳產–鋼鐵,14355,0,0,0
2015,豐興,鋼鐵工業,傳產–鋼鐵,5816,0,1,1
2017,官田鋼,鋼鐵工業,傳產–鋼鐵,3881,0,0,0
2020,美亞,鋼鐵工業,傳產–鋼鐵,2655,0,0,0
2022,聚亨,鋼鐵工業,傳產–鋼鐵,4838,0,0,0
2023,燁輝,鋼鐵工業,傳產–鋼鐵,16353,0,0,0
2024,志聯,鋼鐵工業,傳產–鋼鐵,1096,0,0,0
2025,千興,鋼鐵工業,傳產–鋼鐵,3228,0,0,0
2027,大成鋼,鋼鐵工業,傳產–鋼鐵,7082,0,0,0
2028,威致,鋼鐵工業,傳產–鋼鐵,2650,0,0,0
2029,盛餘,鋼鐵工業,傳產–鋼鐵,3212,0,0,0
2030,彰源,鋼鐵工業,傳產–鋼鐵,2729,0,0,0
2031,新光鋼,鋼鐵工業,傳產–鋼鐵,2773,0,0,0
2032,新鋼,鋼鐵工業,傳產–鋼鐵,1305,0,0,0
2033,佳大,鋼鐵工業,傳產–鋼鐵,807,0,0,0
2034,允強,鋼鐵工業,傳產–鋼鐵,3701,0,0,0
2035,唐榮,鋼鐵工業,傳產–鋼鐵,3500,0,0,0
2038,海光,鋼鐵工業,傳產–鋼鐵,1820,0,0,0
2049,上銀,電機機械,傳產–電機,2464,0,1,0
2059,川湖,電子–電子零組件,電子中游–其他,923,0,0,0
2061,風青,電器電纜,傳產–電線電纜,416,0,0,0
2062,橋椿,其他,傳產–其他,1630,0,0,0
2063,世鎧,鋼鐵工業,傳產–鋼鐵,412,0,0,0
2101,南港,橡膠工業,傳產–橡膠,8789,0,1,0
2102,泰豐,橡膠工業,傳產–橡膠,4032,0,0,1
2103,台橡,橡膠工業,傳產–橡膠,7864,0,1,0
2104,中橡,橡膠工業,傳產–橡膠,5492,0,0,0
2105,正新,橡膠工業,傳產–橡膠,28186,1,0,0
2106,建大,橡膠工業,傳產–橡膠,7337,0,1,0
2107,厚生,橡膠工業,傳產–橡膠,4972,0,0,0
2108,南帝,橡膠工業,傳產–橡膠,3800,0,0,1
2109,華豐,橡膠工業,傳產–橡膠,3424,0,0,0
2114,鑫永銓,橡膠工業,傳產–橡膠,614,0,0,0
2201,裕隆,汽車工業,傳產–汽車,15729,1,0,0
2204,中華,汽車工業,傳產–汽車,13841,0,1,0
2206,三陽,汽車工業,傳產–汽車,8964,0,0,0
2207,和泰車,汽車工業,傳產–汽車,5462,1,0,0
2208,台船,航運業,傳產–航運業,7436,0,0,0
2221,大甲,其他,傳產–其他,424,0,0,0
2227,裕日車,汽車工業,傳產–汽車,3000,0,1,0
2231,為升,電機機械,傳產–電機,604,0,0,0
2233,宇隆,電機機械,傳產–汽車零組件,375,0,0,0
2301,光寶科,電子–電腦及週邊設備,電子中游–EMS,22953,1,0,0
2302,麗正,電子–半導體,電子上游–LED及光元件,1600,0,0,0
2303,聯電,電子–半導體,電子上游–IC代工,129518,1,0,0
2305,全友,電子–電腦及週邊設備,電子下游–掃描器,2057,0,0,0
2308,台達電,電子–電子零組件,電子中游–EMS,24212,1,0,0
2311,日月光,電子–半導體,電子上游–IC封測,76021,1,0,1
2312,金寶,電子–其他電子,電子中游–EMS,14582,0,0,0
2313,華通,電子–電子零組件,電子上游–PCB製造,11918,0,0,0
2314,台揚,電子–通信網路,電子中游–通訊設備,4130,0,0,0
2315,神達,電子–電腦及週邊設備,電子中游–EMS,15298,0,0,0
2316,楠梓電,電子–電子零組件,電子上游–PCB製造,3171,0,0,0
2317,鴻海,電子–其他電子,電子中游–EMS,118359,1,0,0
2321,東訊,電子–通信網路,電子中游–通訊設備,6306,0,0,0
2323,中環,電子–光電,電子下游–光碟片,27509,0,0,0
2324,仁寶,電子–電腦及週邊設備,電子中游–EMS,44125,1,0,0
2325,矽品,電子–半導體,電子上游–IC封測,31164,1,0,1
2327,國巨,電子–電子零組件,電子上游–被動元件,22053,0,1,0
2328,廣宇,電子–電子零組件,電子上游–連接元件,5094,0,0,0
2329,華泰,電子–半導體,電子上游–IC封測,8060,0,0,0
2330,台積電,電子–半導體,電子上游–IC代工,259220,1,0,1
2331,精英,電子–電腦及週邊設備,電子中游–主機板,11832,0,0,0
2332,友訊,電子–通信網路,電子中游–網通,6476,0,0,0
2337,旺宏,電子–半導體,電子上游–IC製造,35214,0,1,0
2338,光罩,電子–半導體,電子上游–IC其他,2627,0,0,0
2340,光磊,電子–光電,電子上游–LED及光元件,5457,0,0,0
2341,英群(下櫃),0,0,0,0,0,0
2342,茂矽,電子–半導體,電子上游–DRAM銷售,3722,0,0,0
2344,華邦電,電子–半導體,電子上游–IC製造,36851,0,1,0
2345,智邦,電子–通信網路,電子中游–網通,5237,0,0,0
2347,聯強,電子–電子通路,電子下游–資訊通路,15797,1,0,0
2348,力廣,電子–電子通路,電子下游–掃描器,176,0,0,0
2349,錸德,電子–光電,電子下游–光碟片,26472,0,0,0
2351,順德,電子–半導體,電子上游–IC其他,1802,0,0,0
2352,佳世達,電子–電腦及週邊設備,電子中游–EMS,19668,0,0,0
2353,宏碁,電子–電腦及週邊設備,電子下游–筆記型電腦,28347,1,0,0
2354,鴻準,電子–其他電子,電子中游–機殼,12370,1,0,0
2355,敬鵬,電子–電子零組件,電子上游–PCB製造,3975,0,0,0
2356,英業達,電子–電腦及週邊設備,電子下游–筆記型電腦,35875,0,1,0
2357,華碩,電子–電腦及週邊設備,電子下游–筆記型電腦,7528,1,0,0
2358,美格,電子–電腦及週邊設備,電子下游–顯示器,850,0,0,0
2359,所羅門,電子–電子通路,電子上游–IC通路,1881,0,0,0
2360,致茂,電子–其他電子,電子中游–儀器設備工程,3768,0,1,1
2361,鴻友,電子–電腦及週邊設備,電子下游–掃描器,725,0,0,0
